* The following is the list of plates in the on-line Consolidated Lunar Atlas from the Lunar and Planetary Laboratory,,,
* It has been put in a format which (when saved as a  .csv  file) can be read by the PSS feature in LTVT,,,

* Note:  blank rows and rows starting with a * are treated as comments and ignored by LTVT,,,
*  Please do not use any commas or semi-colons anywhere in this file -- they will lead to a bad .csv version and confuse LTVT,,,

*Date,Time,Plate,Photo
28/04/1966,2:37:30,B9,C1514
4/28/1966,2:37:30,B9,C1514
4/28/1966,2:50:12,D12,C1527
1/19/1967,2:41:48,E12,C3846
1/19/1967,2:44:42,F12,C3853
1/19/1967,2:52:00,G11,C3870
1/19/1967,2:56:30,A5,C3879
1/19/1967,3:03:30,C9,C3897
5/28/1966,4:01:54,B10,C1890
5/28/1966,4:06:12,C10,C1894
5/28/1966,4:11:12,D14,C1900
5/28/1966,4:16:24,C15,C1911
1/20/1967,1:44:42,A8,C3898
1/20/1967,1:46:06,C13,C3902
1/20/1967,1:47:06,D15,C3904
1/20/1967,1:51:36,G13,C3911
1/20/1967,1:52:18,H7,C3912
1/20/1967,3:16:00,B12,C3924
1/20/1967,3:27:12,E14,C3944
1/20/1967,3:29:54,F14,C3950
5/29/1966,3:46:48,C14,C1960
5/29/1966,3:50:48,E15,C1968
5/29/1966,4:40:36,F15,C1995
2/19/1967,2:53:48,B13,C4184
2/19/1967,2:56:48,D17,C4195
10/24/1966,2:59:42,A10,C3027
1/21/1967,2:35:30,H11,C3968
1/21/1967,2:42:30,E17,C3977
1/21/1967,2:44:12,D19,C3979
4/1/1966,3:22:18,D20,C1196
4/1/1966,3:24:12,E18,C1199
4/1/1966,3:31:48,G15,C1208
4/1/1966,3:37:12,H12,C1214
12/23/1966,4:38:00,A12,C3718
12/23/1966,4:43:48,C16,C3727
12/23/1966,4:53:48,F16,C3745
1/22/1967,2:53:42,H16,C4036
1/22/1967,3:04:18,G18,C4044
1/22/1967,3:07:36,F18,C4048
1/22/1967,3:11:00,E21,C4052
1/22/1967,3:17:48,D22,C4060
1/22/1967,3:20:00,C17,C4062
1/22/1967,3:27:30,B15,C4071
1/22/1967,3:30:48,A13,C4079
4/2/1966,8:03:18,G19,C1254
4/2/1966,8:05:12,F19,C1256
4/2/1966,8:11:42,E22,C1262
4/2/1966,8:26:30,C19,C1275
4/2/1966,10:46:12,H17,C1318
5/2/1966,3:49:54,B16,C1585
5/2/1966,4:05:54,F21,C1607
5/2/1966,5:45:42,E23,C1662
2/22/1967,3:20:06,C20,C4259
2/22/1967,3:22:54,D24,C4268
2/22/1967,3:34:54,F23,C4301
2/22/1967,3:38:12,G21,C4308
2/22/1967,3:42:54,H21,C4321
12/6/1965,5:02:00,A15,C358
12/6/1965,5:07:00,B18,C363
12/6/1965,5:14:00,C21,C369
12/6/1965,5:18:00,D26,C374
12/6/1965,5:23:00,E25,C378
3/5/1966,6:01:00,G22,C931
2/4/1966,6:52:18,D27,C790
2/4/1966,7:02:18,E27,C796
2/4/1966,7:06:42,F24,C801
2/4/1966,7:08:36,G23,C804
10/9/1965,6:29:06,AI,N5818
10/9/1965,6:29:06,BI,N5818
10/9/1965,6:29:06,BII,N5818
10/9/1965,6:29:06,BIII,N5818
10/9/1965,6:29:06,CI,N5818
10/9/1965,6:29:06,CII,N5818
10/9/1965,6:29:06,CIII,N5818
10/9/1965,6:29:06,CIV,N5818
10/9/1965,6:29:06,DI,N5818
10/9/1965,6:29:06,DII,N5818
10/9/1965,6:29:06,DIII,N5818
10/9/1965,6:29:06,DIV,N5818
10/9/1965,6:29:06,EI,N5818
10/9/1965,6:29:06,EII,N5818
10/9/1965,6:29:06,EIII,N5818
10/9/1965,6:29:06,EIV,N5818
10/9/1965,6:29:06,FI,N5818
10/9/1965,6:29:06,FII,N5818
10/9/1965,6:29:06,FIII,N5818
10/9/1965,6:29:06,FIV,N5818
10/9/1965,6:29:06,GI,N5818
4/22/1959,3:57:00,GII,Y106
4/22/1959,3:57:00,HI,Y106
4/22/1959,3:57:00,HII,Y106
10/28/1966,6:07:06,D28,C3198
10/28/1966,6:10:42,F26,C3205
10/28/1966,6:25:18,E28,C3233
10/28/1966,6:28:18,C23,C3239
